Total_Stops,Route_1,Route_2,Route_3,Route_4,Route_5,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Chennai,Delhi,Kolkata,Mumbai,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Price,Journey_day,Journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_hours,Duration_mins
2,3,9,4,5,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13381.0,12,6,20,15,19,15,23,0
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,12898.0,27,5,16,0,12,35,20,35
1,3,7,6,13,5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,19495.0,6,3,14,10,19,20,5,10
1,0,11,8,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6955.0,21,3,22,0,13,20,15,20
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3943.0,3,4,4,0,6,50,2,50
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4823.0,1,5,18,55,21,50,2,55
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7757.0,6,5,18,55,8,15,13,20
2,3,21,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13292.0,9,6,21,25,12,35,15,10
1,3,32,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,8238.0,1,6,21,50,3,35,5,45
1,3,7,6,13,5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,7682.0,15,5,7,0,12,55,5,55
0,0,13,29,13,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4668.0,18,6,9,45,12,35,2,50
0,4,8,29,13,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3687.0,15,6,7,5,9,20,2,15
0,4,8,29,13,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3687.0,18,6,7,5,9,20,2,15
2,2,15,9,3,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,13227.0,1,5,9,50,23,15,13,25
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4423.0,6,4,4,0,6,50,2,50
2,3,34,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10919.0,15,6,14,35,12,35,22,0
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,12373.0,18,5,7,5,12,35,5,30
1,3,7,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5894.0,27,6,10,35,21,0,10,25
1,2,33,3,13,5,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,4649.0,21,5,15,5,20,20,5,15
0,2,5,29,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6245.0,18,5,14,15,16,45,2,30
1,0,7,8,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,19225.0,6,3,7,0,13,15,6,15
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,14924.0,3,6,7,5,19,0,11,55
1,3,20,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,9646.0,21,5,7,5,18,10,11,5
1,0,7,8,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8714.0,15,3,6,45,15,15,8,30
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,12373.0,18,5,20,55,19,0,22,5
0,0,13,29,13,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3383.0,6,5,11,10,13,55,2,45
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13062.0,21,3,9,0,21,0,12,0
0,0,13,29,13,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,3527.0,24,3,5,45,8,35,2,50
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3943.0,27,5,4,0,6,50,2,50
0,4,8,29,13,5,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,4667.0,3,5,11,40,13,55,2,15
1,2,20,3,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6117.0,15,5,19,0,11,5,16,5
2,3,0,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,11150.0,27,6,23,5,19,0,19,55
0,3,10,29,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,7202.0,9,3,11,0,14,15,3,15
1,2,14,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12121.0,1,5,9,35,10,55,25,20
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4377.0,24,3,22,20,1,10,2,50
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3943.0,18,6,21,15,0,15,3,0
0,0,13,29,13,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4483.0,3,4,23,55,2,45,2,50
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14231.0,24,3,19,45,12,0,16,15
2,0,7,0,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17345.0,1,3,8,50,23,55,15,5
0,4,8,29,13,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,7414.0,6,3,7,5,9,20,2,15
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,8073.0,6,5,19,0,1,30,6,30
1,1,14,13,13,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,12395.0,6,3,15,40,16,45,25,5
1,2,7,3,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,8366.0,6,6,9,25,21,50,12,25
1,3,33,6,13,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5117.0,3,4,6,5,9,25,27,20
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,12524.0,3,6,8,45,19,0,10,15
1,3,7,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,7191.0,15,5,15,0,1,30,10,30
0,4,8,29,13,5,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3687.0,24,5,7,5,9,20,2,15
1,3,7,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5894.0,24,6,10,35,21,0,10,25
0,0,13,29,13,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,5403.0,24,4,9,45,12,35,2,50
0,1,19,29,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,3625.0,6,5,13,55,15,25,1,30
2,3,4,4,5,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10861.0,21,5,5,55,19,15,13,20
0,4,8,29,13,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,6297.0,12,3,13,20,15,35,2,15
0,1,19,29,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,5678.0,1,6,7,5,8,30,1,25
1,0,7,8,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,9134.0,9,3,5,45,8,15,26,30
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10791.0,24,6,11,40,19,0,7,20
2,3,0,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,12819.0,24,6,23,5,12,35,13,30
1,3,6,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,6893.0,21,3,5,5,10,5,5,0
0,0,13,29,13,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,7240.0,9,3,9,50,12,35,2,45
0,0,13,29,13,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3898.0,3,4,11,40,14,30,2,50
0,1,19,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,4049.0,3,4,6,25,7,55,1,30
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10262.0,15,6,17,30,12,35,19,5
0,4,8,29,13,5,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,3332.0,21,3,8,20,10,35,2,15
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10844.0,9,6,21,10,12,0,14,50
0,0,13,29,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7229.0,24,3,19,55,22,35,2,40
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,13941.0,6,5,6,30,4,40,22,10
1,3,7,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5894.0,27,6,11,25,21,0,9,35
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10197.0,18,5,9,0,19,0,10,0
1,0,7,8,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13712.0,6,3,14,5,11,25,21,20
1,3,33,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5636.0,24,6,2,0,7,25,5,25
2,3,28,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13014.0,6,6,9,40,4,25,18,45
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7064.0,1,4,8,25,20,45,12,20
1,2,14,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10703.0,24,5,20,25,14,25,18,0
1,3,20,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,9646.0,27,5,13,15,22,30,9,15
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,17057.0,6,3,2,15,13,20,11,5
1,0,7,8,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13817.0,12,3,16,55,10,25,17,30
2,3,4,4,5,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13748.0,6,3,5,55,19,15,13,20
0,2,5,29,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4880.0,21,4,20,45,23,20,2,35
0,4,8,29,13,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3540.0,21,6,5,15,7,40,2,25
0,0,13,29,13,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3257.0,15,5,5,55,8,35,2,40
0,0,13,29,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6478.0,3,6,19,50,22,50,3,0
0,1,19,29,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,8040.0,18,6,7,5,8,30,1,25
2,3,1,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,14300.0,12,6,20,0,12,35,16,35
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14781.0,15,5,8,25,20,45,12,20
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14939.0,9,6,20,0,8,15,12,15
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10262.0,24,6,20,55,4,25,7,30
1,2,33,3,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6528.0,12,5,14,35,14,35,24,0
0,0,13,29,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6121.0,1,5,6,10,8,55,2,45
2,3,28,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13029.0,18,5,19,30,4,25,8,55
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,11421.0,27,3,11,40,18,50,7,10
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,7574.0,27,3,4,45,19,15,14,30
2,3,29,4,5,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,11596.0,9,5,12,55,19,15,30,20
2,3,0,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,15129.0,24,5,23,5,19,0,19,55
1,0,7,8,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13555.0,18,3,14,5,5,5,15,0
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5780.0,12,4,18,55,21,50,2,55
1,2,14,3,13,5,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9397.0,12,5,20,20,9,5,12,45
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,17024.0,6,3,18,15,4,25,10,10
1,3,7,6,13,5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5281.0,27,6,7,0,12,55,5,55
1,3,20,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10348.0,18,5,7,5,22,30,15,25
1,3,33,6,13,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,12677.0,6,3,17,20,9,25,16,5
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,15147.0,3,3,15,25,1,35,10,10
0,0,13,29,13,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,4668.0,12,6,7,0,9,40,2,40
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,15554.0,9,5,7,5,19,0,11,55
0,0,13,29,13,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3971.0,9,4,5,55,8,35,2,40
0,1,19,29,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,3100.0,3,5,15,0,16,25,1,25
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9663.0,6,5,20,0,10,5,14,5
1,3,7,6,13,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,27430.0,1,3,23,0,19,15,20,15
0,4,8,29,13,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3540.0,12,5,5,15,7,40,2,25
2,2,2,4,3,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10676.0,21,5,12,0,11,10,23,10
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,13044.0,12,6,14,5,8,15,18,10
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14388.0,6,5,20,0,12,0,16,0
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3943.0,24,6,4,0,6,50,2,50
0,4,8,29,13,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3597.0,3,6,14,45,17,5,2,20
1,0,33,8,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5932.0,21,3,11,50,19,50,8,0
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10262.0,15,6,11,30,4,25,16,55
0,3,10,29,13,5,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,6216.0,12,5,14,40,17,50,3,10
0,2,5,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4804.0,15,6,20,25,23,10,2,45
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,14067.0,21,5,11,30,1,30,14,0
2,3,0,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,15129.0,18,5,19,10,19,0,23,50
2,3,34,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13376.0,6,6,6,45,4,25,21,40
2,3,16,4,5,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10441.0,27,6,22,0,19,15,21,15
0,0,13,29,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4030.0,24,5,6,0,8,45,2,45
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,17024.0,3,3,8,0,18,50,10,50
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13017.0,9,4,17,30,1,30,8,0
1,2,7,3,13,5,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6686.0,6,6,23,30,7,45,8,15
1,3,33,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5636.0,15,6,2,0,7,25,5,25
1,3,20,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,6442.0,9,6,7,35,16,10,8,35
1,3,20,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,9486.0,21,5,13,5,0,55,11,50
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10844.0,21,5,20,0,23,35,27,35
2,3,1,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,15318.0,3,6,20,0,4,25,8,25
1,3,33,6,13,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5117.0,3,4,12,30,9,25,20,55
1,3,6,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,6147.0,24,6,15,10,20,0,4,50
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,7005.0,9,6,12,50,21,0,8,10
0,2,5,29,13,5,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3873.0,3,4,22,20,0,40,2,20
2,3,3,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,9270.0,21,3,18,25,18,50,24,25
0,0,13,29,13,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3898.0,27,6,11,40,14,30,2,50
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14781.0,12,5,8,25,20,45,12,20
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,8586.0,24,5,20,0,8,15,12,15
2,2,28,4,3,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10697.0,9,5,8,20,7,55,23,35
2,3,1,4,5,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,14300.0,27,6,20,0,12,35,16,35
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,8855.0,3,3,18,55,21,45,2,50
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10844.0,12,5,16,30,18,15,25,45
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,17024.0,6,3,2,15,4,25,26,10
1,2,14,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9314.0,1,5,9,35,14,25,28,50
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4777.0,24,3,0,40,3,25,2,45
1,2,2,3,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7662.0,9,6,12,0,13,15,25,15
1,3,20,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,6442.0,9,5,6,50,16,10,9,20
1,3,37,6,13,5,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,5264.0,12,6,8,45,13,15,4,30
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,12898.0,27,5,13,0,4,25,15,25
0,1,19,29,13,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,6092.0,3,3,13,55,15,25,1,30
0,0,13,29,13,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3311.0,21,5,5,55,8,35,2,40
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,6540.0,27,3,19,15,4,25,9,10
0,0,13,29,13,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3419.0,27,5,1,30,4,15,2,45
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5177.0,3,4,14,0,12,35,22,35
0,3,10,29,13,5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,8246.0,18,4,18,5,21,10,3,5
1,2,14,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14676.0,9,6,9,35,21,5,11,30
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13587.0,27,6,11,30,21,0,9,30
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9663.0,6,5,21,10,9,20,12,10
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,13044.0,12,6,16,30,10,5,17,35
1,3,7,6,13,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5073.0,3,4,20,25,1,30,5,5
1,2,14,3,13,5,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9345.0,21,5,17,0,18,50,25,50
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9663.0,6,5,14,5,10,5,20,0
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,14277.0,21,5,8,0,21,0,13,0
1,3,7,6,13,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,10262.0,1,6,10,0,4,25,18,25
0,1,19,29,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,5678.0,27,3,19,35,21,5,1,30
1,3,7,6,13,5,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,13727.0,15,5,16,0,1,30,9,30
1,2,7,3,13,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9663.0,6,5,20,0,12,0,16,0
0,4,8,29,13,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3858.0,12,5,14,45,17,5,2,20
